AKB_FILIAL;AKB_PROCES;AKB_ITEM;AKB_DESCRI;AKB_ORIGEM;AKB_ENTIDA;AKB_INDICE;AKB_PERMR;AKB_CFGON;AKB_ESTORN
01;000009;31;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor  dos Juros (inclusao)                 ";"  ";SEI;1;" ";2;" "
01;000009;32;"RESGATE DE APLICACOES/EMPRESTIMOS - Variacao Cambial a Longo Prazo (inclusao)   ";"  ";SEI;1;" ";2;" "
01;000009;33;"RESGATE DE APLICACOES/EMPRESTIMOS - Variacao Cambial a Curto Prazo (inclusao)   ";"  ";SEI;1;" ";2;" "
01;000009;34;"RESGATE DE APLICACOES/EMPRESTIMOS - Variacao Cambial dos Juros (inclusao)       ";"  ";SEI;1;" ";2;" "
01;000009;35;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa do Longo Prazo (inclusao)             ";"  ";SEI;1;" ";2;" "
01;000009;36;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa do Curto Prazo (inclusao)             ";"  ";SEI;1;" ";2;" "
01;000009;37;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa do Juro (inclusao)                    ";"  ";SEI;1;" ";2;" "
01;000009;38;"RESGATE DE APLICACOES/EMPRESTIMOS - Pagto do Valor do IRF (inclusao)            ";"  ";SEI;1;" ";2;" "
01;000009;39;"RESGATE DE APLICACOES/EMPRESTIMOS - Pagto das Despesas (inclusao)               ";"  ";SEI;1;" ";2;" "
01;000009;40;"RESGATE DE APLICACOES/EMPRESTIMOS - Pagto do GAP (inclusao)                     ";"  ";SEI;1;" ";2;" "
01;000009;41;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do Debito (inclusao)                  ";"  ";SEI;1;" ";2;" "
01;000009;42;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao dos Juros (inclusao)            ";"  ";SEI;1;" ";2;" "
01;000009;43;RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao Var.Cambial a Longo Prazo (inclu;"  ";SEI;1;" ";2;" "
01;000009;44;RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao Var.Cambial a Curto Prazo (inclu;"  ";SEI;1;" ";2;" "
01;000009;45;RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao Var.Cambial dos Juros (inclusao);"  ";SEI;1;" ";2;" "
